Id | Name | Description | Properties 属性名 | 补充说明 | 缺失数据 | 缺失数据0515new | 安卓缺失数据0529 | ios缺失数据0606 | DI TABLE：统一在 hab_app_events
159 | editor_click_game | 用户点击某个editor游戏卡片 | { user_id:<int>, game_id: <int>, number :< int > 1023新增 sub_content :< string > ｝ | game_id:点击游戏卡片的游戏id number<int>:游戏所处的排序(从左到右算 第一排左:1 第一排右:2 第二排左:3 第二排右:4 1023新增 sub_content:< string >：用竖线 | 隔开数据 格式： “游戏人数 | pk人数 | 游戏标签种类” 例子：“1000|2000|2” 表示 1000游戏人数，2000PK人数，like游戏标签 PK人数，如果不是pk游戏可以传 -1 标签种类： 0：没有 1：new 2：like （点赞大拇指） 3：PK |  |  |  |  | 
1027需求 | 原有埋点有部分修改，可查找 1027 关键字 |  |  |  |  |  |  |  | 
160 | game_category_load_complete | 选游戏类别页面加载成功。成功定义是：所有游戏类别选项成功展示 | { user_id:<int>, amount：<int> content: <string> } | amount:<int> 加载成功时间 （毫秒） content:<string> 每种数据通过 ｜ 间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” （ 数据之间不用加空格，这里展示为了清晰 ） 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
161 | intro_page_load_complete | 介绍页面加载成功。成功定义是：视频+可点击的按钮成功展示 | { user_id:<int>, amount：<int> content: <string> } | amount:<int> 加载成功时间 （毫秒） content:<string> 每种数据通过 ｜ 间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
162 | old_user_spin_wheel_page_load_complete | 老用户转轮页面加载成功。成功定义是：转盘和可点击的按钮都展示 (H5) | { user_id:<int>, amount：<int> content: <string> } | amount:<int> 加载成功时间 （毫秒） content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
163 | need_more_spins_page_load_complete | Need more spins页面加载成功。成功定义是: 所有任务和可点击的按钮都展示 (H5) | { user_id:<int>, amount：<int> content: <string> } | amount:<int> 加载成功时间 （毫秒） content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
1030需求 | 原有埋点有部分修改，可查找 1030 关键字 |  |  |  |  |  |  |  | 
164 | app_tracker_popup | 允许app tracker权限弹窗 (iOS) | { status: <int> } | status:<int> 1: Allow 2: Don't allow 3: 展示 |  |  |  |  | 
1031需求 | 原有埋点有部分修改，可查找 1031 关键字 |  |  |  |  |  |  |  | 
165 | sign_in_email_page | 注册邮箱页面 | { user_id:<int>, type: <int> } | type: <int> 1进人页面 2: 点击send code 3: 点击resend 4: 点击verify |  |  |  |  | 
1106需求 | 原有埋点有部分修改，可查找 1106 关键字 |  |  |  |  |  |  |  | 
166 | reward_leaderboard_page | 获奖榜单页面 | { user_id:<int>, type: <int> } | type: <int> 1:展示页面 2: 点击Tap To Win 3: 点击关闭 |  |  |  |  | 
1113需求 | 原有埋点有部分修改，可查找 1113 关键字 |  |  |  |  |  |  |  | 
167 | popup_energy_offer | “Energy Big Offer”的相关操作 | { user_id:<int>, game_id: <int>, type: <int> ｝ | type 1-弹窗展示 2-点击“Play Now”按钮 |  |  |  |  | 
168 | popup_out_of_energy | “Energy不足”弹窗相关操作 | { user_id:<int>, game_id: <int>, type: <int>， status: <int>， number :< int >, status_user :< int >, panel :< int >, 1126新增 amount：<int> 1219新增 pk_id:<string> 1226新增修正 bind:<int> ｝ | type 1-弹窗展示 2-弹窗按钮点击 status 区分弹窗内容 1-花coins买生命值弹窗 2-看广告获得生命值 1226调整 3 invite获得energy 1126新增 3-能量恢复倒计时 1211新增 4：invite获得energy 1226修改 bind:<int> 修改为用户tier分层 1: tier1 2: tier2 3: tier3 1219新增 pk_id:<string> 1：pk模式 2：普通游戏模式 number (区分是否勾选不再展示的check box) 1-有勾选 0-未勾选 status_user <int>： 区分用户身份是否充值过的用户 1：充值过的用户 2：没有充值过的用户 panel <int>： 区分该弹窗是否首次展示 1：该弹框首次展示 2：该弹框非首次展示 1126新增字段 amount：<int> 记录本次弹框是本轮out_of_energy 弹框的第几次 |  |  |  |  | 
169 | popup_energy_purchase | 无生命值时触发的充值弹窗 | { user_id:<int>, game_id: <int>, type: <int>， status: <int>， number :< int >， status_user :< int >, panel :< int >, 1219新增 pk_id:<string> bind:<int> second_diff:<float> amount:<int> ｝ | type 1-弹窗展示 2-弹窗按钮点击 status 区分弹窗内容 1-首充礼包 2-非首充礼包 status_user <int>： 区分用户身份是否充值过的用户 1：充值过的用户 2：没有充值过的用户 panel <int>： 区分该弹窗是否首次展示 1：该弹框首次展示 2：该弹框非首次展示 1219新增 pk_id:<string> 1：pk模式 2：普通游戏模式 bind:<int> 充值代币类型 0-coin 1-energy amount :<int> topup获得coins或者energy的总数 second_diff:<float> 记录rebate数量,可以为小数 |  |  |  |  | 
170 | no_network_prompt | 无网络状态的提示出现 | { user_id:<int>, game_id: <int>, type: <int> ｝ | type 区分出现场景 1-swipe页黑色遮罩+自动loading动效 2-swipe页文字提示 3-play页文字提示 4-inbox页文字提示 5-me页文字提示 |  |  |  |  | 
171 | network_retry_success | 出现无网络状态后重试连接成功 | { user_id:<int>, game_id: <int>, amount：<int> ｝ | amount 距离上次提示的秒数，目的是看多长时间能重连成功 |  |  |  |  | 
172 | old_user_task | 老用户gamification任务页 | { user_id:<int>, game_id: <int>, type: <int>， status: <int>， number :< int > 1127新增 panel:<int> status_user<int> 1203新增 other_user_id：<int> amount ：<int> ｝ | type 1-任务未开始时进入展示页面 2-点击做任务按钮 3-有spin时点击进入转盘 4-无spin时点击进入转盘 5-任务完成时进入展示页面 6-任务进行了一部分但未完成时进入展示页面 number 区分任务id status 区分进入渠道 1:从游戏房进入 2:从play页-小铃铛activity进入 3:从play page-转盘进入 4:从alert banner进入(顶部的feed提示) 5:新用户自动打开 1120新增 6:荣耀榜 7:app外push notification 1203新增 8-从转盘进入 game_id: 如果是玩游戏的任务，记录游戏id 1127新增 panel:<int>任务池子类型: 1-激活 2-营收 3-留存 4-邀请 status_user<int> 用户类型: 1-当天未玩游戏的用户 2-花coins超过10个的用户 3-玩同一个游戏超过3次的用户 4-玩同一个游戏未超过3次的用户 1203新增 other_user_id：<int>区别新老用户 1-新用户 new_user 2-老用户 old_user amount :<int> 用户当前持有的spin数量" |  |  |  |  | 
1119需求 |  |  |  |  |  |  |  |  | 
173 | report_error | 上报错误日志 | { user_id:<int>, content: <string> } | user_id 没有可以不填 content：报错具体内容，字符串，如果是 json 需要转成string |  |  |  |  | 
1121需求 |  |  |  |  |  |  |  |  | 
174 | receive_energy_prompt | 用户获得生命值提示 | { user_id:<int>, game_id: <int>, type: <int>， 1219新增 pk_id:<string> ｝ | type 获得途径 1-看广告 1219新增 pk_id:<string> 1：pk模式 2：普通游戏模式 |  |  |  |  | 
1201需求 |  |  |  |  |  |  |  |  | 
175 | domain_speed | 不同域名速度 | { user_id:<int>, amount: <int>， content : <string>,、 sub_content : <string> ｝ | 1203修改 amount 域名下载（或 HEAD 请求）的耗时，单位毫秒 content：域名1 | 耗时1 | 域名2 | 耗时2 （竖线分割 ，这里为了显示好看，竖线前后没有空格 ） sub_content：最终选择的域名 |  |  |  |  | 
1203需求 | 原有埋点有部分修改，可查找 1203 关键字 |  |  |  |  |  |  |  | 
176 | new_user_task_congratulations | 新人任务，首次做任务并且未完成，触发弹窗 | { user_id:<int>, type: <int>， ｝ | type 1-展示页面 2-点击“Get it” 3-点击“x”退出" |  |  |  |  | 
1219需求 | 原有埋点也有部分修改，可查找 1219 关键字 |  |  |  |  |  |  |  | 
177 | swipe_match_entry | swipe页比赛的固定入口 | { user_id:<int>, type: <int>， status: <int>， 260123新增: pk_id:<string>, ｝ | type ( 260104 join 按钮名字改为 book) 1-入口展示 2-点击 book join 按钮报名 3-点击 booked joined 按钮取消报名 4-点击enter按钮 260305新增 type=5 点击invite按钮 status 1-报名阶段 2-准备进入比赛阶段" |  |  |  |  | 
178 | waiting_room_page | 候场页面 | { user_id:<int>, type: <int>， status: <int>， game_id:<int> 260123新增: pk_id:<string>, ｝ | type 1-进入页面 2-点击按钮 status 1-能量值>0 2-能量值=0" |  |  |  |  | 
179 | match_score_bar_click | 比赛中点击分数bar | { user_id:<int>, game_id:<int>, pk_id:<string> ｝ | pk_id ：服务器传回来的pk_id |  |  |  |  | 
180 | enter_spectator_mode | 进入围观模式 | { user_id:<int>, game_id:<int>, pk_id:<string> ｝ | pk_id ：服务器传回来的pk_id |  |  |  |  | 
181 | prize_pool | 奖状页相关操作 | { user_id:<int>, type: <int>， status: <int>， number:<int> 260123新增: pk_id:<string>, ｝ | type 1-进入页面 2-点击按钮 status 260106 含义修改 1-冠军 Claim按钮 2-除冠军之外的人 Join按钮 number: 用户本场比赛的名次，如果是围观者传0 |  |  |  |  | 
182 | match_share_page | 下一个比赛分享页 | { user_id:<int>, type: <int>， 260123新增: pk_id:<string>, ｝ | type 1-进入页面 2-点击按钮 |  |  |  |  | 
183 | champion_reward_page | 冠军领奖页 | { user_id:<int>, type: <int>， 260123新增: pk_id:<string>, 260129新增 content:<string> 260305新增： status：<int> ｝ | type 1-进入页面 2-点击redeem coins 3-点击redeem energy 4-点击giftcard 5-点击other method 6-点击任意一个cashout方式 260305新增 type=7 点击invite按钮 type=8 点击win cash按钮 260129新增 content:<string> 记录cashout渠道 260305 新增status字段记录进入来源 1-me page进入 2-KiX challenge比赛结束后点击claim进入 3-daily tournament页点击claim进入 |  |  |  |  | 
1230 kix web 需求 |  |  |  |  |  |  |  |  | 
184 | kix_page_view | 记录用户进入 web页面 | { user id :<int> event_time:<long> device_id:<string> ｝ | event_time：已经使用ts共用字段上传 |  |  |  |  | kix_web_events
185 | kix_web_game_enter | kix_web页面 进入游戏 | { user_id:<int>, type: <int>， game_id:<int>, event_time:<long> ｝ | event_time：已经使用ts共用字段上传 type 1 swipe页面进入 2 rRecommended For You页面进入 game_id游戏id |  |  |  |  | kix_web_events
186 | kix_web_ swipe | 滑动屏幕 | { user_id:<int>, game_id:<int>, event_time:<long> ｝ | event_time：已经使用ts共用字段上传 |  |  |  |  | kix_web_events
187 | kix_web_ click_download | 点击下载 | { user_id:<int>, event_time:<long> ｝ | event_time：已经使用ts共用字段上传 |  |  |  |  | kix_web_events
188 | kix_web_ click_login | 点击登陆 | { user_id:<int>, event_time:<long> ｝ | event_time：已经使用ts共用字段上传 |  |  |  |  | kix_web_events
260104需求 | 原有埋点也有部分修改，可查找 260104 关键字 |  |  |  |  |  |  |  | 
189 | kix_viral | kix的 viral邀新裂变所有场景记录 | { user_id:<int>, type: <int>， status: <int>， number:<int>， bind:<int> 260129新增： content:<string> ｝ | type: <int> 记录viral场景编号 1:S01 Energy_Rescue：没能量弹窗 2:S02 HQ_After_Share：Challenge赛后分享，用户在结算页点击“关闭”奖状弹窗 -> 触发二次挽留弹窗 3:S03 HQ_H5_Share ：Challenge赛事预约，swipe置顶推送，点击详情进入H5页 4:S04 HQ_Room_Invite：Challenge赛前候场，用户进入 HQ 赛事候场室 (Waiting Room) -> 处于等待倒计时或凑人状态 5:S05 Add_Friend_Invite：Play 页面 -> 进入Add Friends 页面 -> 邀请入口 6:S06 Game_Room_Invite：游戏室内邀请，游戏内 -> 点击游戏室 -> 点击 Invite (邀请) 按钮 7:S07 Gamification_Task 9:S09 PK_After_Share: PK结算页分享 status: <int>， 记录事件 1：展示 2：点击 number:<int> ， 记录对应奖励内容 （ 260129客户端反馈拿不到这个，可不传） 展示的奖励energy个数 0：S07对应的专属奖励 1：spin bind:<int> 用户tier分层 1: tier1 2: tier2 3: tier3 260129新增 content:<string>：分享文案 |  |  |  |  | kix_web_events
260106需求 | 原有埋点也有部分修改，可查找 260106 关键字 |  |  |  |  |  |  |  | 
190 | pk_result | 比赛结束排行榜页 | { user_id:<int>, game_id:<int>, pk_id:<string>, type: <int>， status: <int>， ｝ | type 1-进入页面 status 1- challenge赛事 |  |  |  |  | kix_web_events
191 | game_package_download | 游戏包下载 | { game_id:<int>, content: <string>, type: <int> } | type:<int> 1: 阿里云sdk下载方案 2: IOS 原生下载 content:<string> 每种数据通过 ｜间隔 格式:（时间为毫秒，大小为字节，bytes） 从开始下载到完成 消耗 的时间 | 游戏压缩包大小 | 解压消耗时间 例子: “ 10000 | 200000 | 1000 ” 10000：表示下载消耗10000毫秒 1000：解压需要1000毫秒 200000：游戏包大小为 200000字节 |  |  |  |  | kix_web_events
260116需求 |  |  |  |  |  |  |  |  | 
192 | kix_share | kix的share所有场景记录 | { user_id:<int>, type: <int>， status: <int>， number:<int>， bind:<int> ｝ | type：share 入口 1 - HQ_Withdraw_Share：Claim center 提现完成后弹出 share 弹窗 2 - HQ_After_Share：HQ 赛事结算页，关闭奖状弹窗后二次挽留 3 - HQ_H5_Share：HQ 时间 Swipe 推送，点击进入 H5 分享详情页 bind ：分享状态 0 - 未分享 1 - 已分享 2 - 分享成功 status：事件类型 1 - 展示 2 - 点击 number：奖励内容" |  |  |  |  | kix_web_events
260123需求 |  |  |  |  |  |  |  |  | 
193 | kix_pk_ready_status | pk的 ready 状态 | { user_id:<int>, game_id:<int>, pk_id:<string>, status: <int>， ｝ | status 1- 客户端收到游戏端的gameReady 2- 客户端已经gameReady发送给Server（发送动作） 3- 客户端发送gameReady 失败 （发送失败） 4- 客户端发送成功gameReady 给服务端 （发送成功） |  |  |  |  | kix_web_events
260127需求 | 原有埋点也有部分修改，可查找 260127 关键字 |  |  |  |  |  |  |  | 
194 | app_launch_success | App 进入 首次可交互状态 | { user_id:<int>, amount：<int>, type: <int> ｝ | amount: 启动时长 type 1-新手流程 swipe_page_load_complete 2-非新手流程 |  |  |  |  | kix_web_events
195 | game_interrupt | 游戏中断 | { user_id:<int>, game_id:<int>, pk_id:<string>, type: <int>, status: <int>, content: <string>, ｝ | type: 1: pk 2: 单机玩 status: 1: loading 2: in_game content 中断原因 |  |  |  |  | kix_web_events
196 | api_request_log | 关键接口请求 | { content: <string>, status : <int>, amount：<int>, ｝ | status: http状态码 (如果没有返回状态为空) amount: 接口耗时 content: api_name |  |  |  |  | kix_web_events
197 | blank_screen_timeout | 白屏 / 黑屏兜底触发率 页面进入后 N 秒内未收到首屏完成 | { user_id:<int>, type: <int> ｝ | type: 1-引擎初始化 2-swipe页浏览游戏 3-play页浏览 4-游戏加载过程中 5-游戏中（切场 / 重连） 6-Crash / 卡死前 |  |  |  |  | kix_web_events
198 | client_crash | 客户端 Crash | { user_id:<int> ｝ |  |  |  |  |  | kix_web_events
260129需求 | 原有埋点也有部分修改，可查找 260129 关键字 |  |  |  |  |  |  |  | 
199 | reward_info | 提现信息填写相关 | { user_id:<int>, type: <int> ｝ | type 1-进入页面 2-提交成功 2-提交失败 |  |  |  |  | kix_web_events
200 | giftcard_select | 礼品卡选择页 | { user_id:<int>, type: <int> ｝ | type 1-进入页面 2-点击confirm |  |  |  |  | kix_web_events
201 | email_info | 邮箱验证相关 | { user_id:<int>, type: <int> ｝ | type 1-进入页面 2-点击confirm 3-验证成功 |  |  |  |  | kix_web_events
260130需求 |  |  |  |  |  |  |  |  | 
202 | minisite_visit | 用户访问页面 | { content: <string>, type: <int> ｝ | content： 存kol标识，string类型 type 1-开始进入页面 2-页面加载完成 3-点击下载按钮 4-点击查看规则按钮 |  |  |  |  | kix_web_events
203 | network_error | 网络错误上报 | { user_id:<int>, content: <string>, sub_content : <string>, type: <int> ｝ | content： 存报错信息 sub_content： 存报错地址 type: <int> 1：图片 2：普通网络请求 |  |  |  |  | kix_web_events
260212需求 | 原有埋点也有部分修改，可查找 260212 关键字 |  |  |  |  |  |  |  | 
204 | monetization_popup | 普通商业化弹窗 | { user_id:<int>, type: <int>， status: <int> number : <int> second_diff : < float > game_id : <int> ｝ | type 1-展示 2-点击 status 1-pk结束退出 2-单机游戏模式结束退出 status_user 用户分层 1-tier 1 2-tier 2 3-tier 3 number 弹窗种类 1-ad 2-invite 3-充值coins 4-充值energy second_diff:<float> 记录rebate数量,可以为小数 |  |  |  |  | kix_web_events
205 | battle_widget | battle页挂件 | { user_id:<int>, type: <int>， status: <int> game_id ｝ | type 1-展示 2-点击 status 1-Hourly tournament 2-Daily tournament |  |  |  |  | kix_web_events
206 | tournament_leaderboard | Tournament 排行榜页 | { user_id:<int>, type: <int>， status: <int>, bind: <int>, panel: <int> game_id ｝ | type 1-展示 2-点击play按钮 status 进入渠道 1-battle页挂件 2-play页卡片 3-challenge结束弹窗跳转 4-一局tournament游戏结束关闭结算页 panel 比赛类型 1-Hourly tournament 2-Daily tournament bind 用户身份 1-游客 2-已登录用户 |  |  |  |  | kix_web_events
207 | play_competition_card | play页competition卡片 | { user_id:<int>, type: <int>， game_id ｝ | type 1-点击kix challenge卡片上半部分 2-点击kix challenge的enter按钮 3-点击daily tournament卡片 4-点击hourly tournament卡片 |  |  |  |  | kix_web_events
20260303需求 |  |  |  |  |  |  |  |  | 
208 | rush_hour_popup | rush hour邀请参赛弹窗 | { user_id:<int>, type: <int>， panel: <int> game_id ｝ | type 1-展示 2-点击join按钮 panel 比赛类型 1-赢家比赛 2-输家比赛 |  |  |  |  | kix_web_events
20260305需求 |  |  |  |  |  |  |  |  | 
209 | challenge_reminder | 自动alert推送卡片 | user_id:<int>, type: <int>， game_id : <int> pk_id <string>, | type: 1-展示 2-点击 |  |  |  |  | kix_web_events
210 | challenge_auto_join | app内auto join提示 | user_id:<int>, type: <int>， game_id: <int> pk_id <string>, | type: 1-展示 2-点击卡片 3-点击cancel |  |  |  |  | kix_web_events
211 | reward_upgrade_popup | 现金奖励升级弹窗 | user_id:<int>, type: <int>， | type: 1-展示 2-点击接受offer 3-点击maybe later |  |  |  |  | kix_web_events
